question, option a, option b, option c, option d, correct_answer
What is the meaning of the word "callous"?, Kind and caring, Hard-hearted and insensitive, Very noisy, Easily frightened, Hard-hearted and insensitive
What does the word "crescendo" mean?, A gradual decrease in loudness, A sudden silence, A gradual increase in loudness or intensity, A soft and gentle sound, A gradual increase in loudness or intensity
What is the meaning of "antics"?, Serious and formal behaviour, Funny or playful actions, Sad and quiet movements, Angry outbursts, Funny or playful actions
What does "apprehensive" mean?, Fearful or anxious about the future, Very confident and calm, Extremely happy, Completely uninterested, Fearful or anxious about the future
What is the meaning of "haunt" (as a verb)?, To help someone, To visit a place frequently or to appear as a ghost, To build a new house, To sing loudly, To visit a place frequently or to appear as a ghost
What does the phrase "an excellent shot" mean?, A good photograph, A person who shoots very accurately, A delicious drink, A type of sports equipment, A person who shoots very accurately
What is the meaning of "assortment"?, A single item, A messy pile, A varied collection of different things, A broken object, A varied collection of different things
What does "littered" mean?, Clean and tidy, Scattered with untidy objects or rubbish, Carefully arranged, Completely empty, Scattered with untidy objects or rubbish
What is the meaning of "torment"?, Great pleasure, Severe physical or mental suffering, A gentle breeze, A loud celebration, Severe physical or mental suffering
What does "rafter" mean?, A type of bird, A sloping beam that supports a roof, A small boat, A kitchen tool, A sloping beam that supports a roof
What is the meaning of "dislodged"?, Fixed firmly in place, Forced to move from a position, Gently placed down, Carefully hidden, Forced to move from a position
What does "flitted" mean?, Moved slowly and heavily, Moved lightly and quickly from place to place, Stood completely still, Fell down with a crash, Moved lightly and quickly from place to place
What is the meaning of "scraggy"?, Smooth and shiny, Thin and bony or uneven in shape, Tall and strong, Soft and fluffy, Thin and bony or uneven in shape
What does "peered" mean?, Shouted loudly, Looked closely or with difficulty, Turned away quickly, Closed eyes tightly, Looked closely or with difficulty
What is the meaning of "corrugated"?, Perfectly flat, Shaped into parallel ridges and grooves, Soft and spongy, Brightly coloured, Shaped into parallel ridges and grooves
What does "seldom" mean?, Very often, Always, Never, Not often; rarely, Not often; rarely
What is the meaning of "ravaged"?, Carefully repaired, Destroyed or badly damaged, Painted beautifully, Gently cleaned, Destroyed or badly damaged
What does "utterly" mean?, Partially, Completely and absolutely, Slightly, Slowly, Completely and absolutely
What is the meaning of "catapult"?, A type of bed, A device used to hurl objects through the air, A kind of flower, A slow-moving vehicle, A device used to hurl objects through the air
What does the verb "climb" mean?, To go downward, To move upward using hands and feet, To jump sideways, To run in circles, To move upward using hands and feet
