Question,Option A,Option B,Option C,Option D,correct_answer
"What is the meaning of ""Brave""?",Coward,Strong,Fearless,Weak,Fearless
"What is the meaning of ""Ancient""?",Modern,Old,New,Fresh,Old
"What is the meaning of ""Rapid""?",Slow,Fast,Lazy,Quiet,Fast
"What is the meaning of ""Happy""?",Sad,Joyful,Angry,Tired,Joyful
"What is the meaning of ""Tiny""?",Huge,Small,Long,Wide,Small
"What is the meaning of ""Begin""?",Start,End,Close,Stop,Start
"What is the meaning of ""Huge""?",Small,Big,Short,Thin,Big
"What is the meaning of ""Clever""?",Dull,Smart,Lazy,Weak,Smart
"What is the meaning of ""Silent""?",Noisy,Quiet,Loud,Talkative,Quiet
"What is the meaning of ""Quick""?",Slow,Fast,Lazy,Sleepy,Fast
"What is the meaning of ""Rich""?",Poor,Wealthy,Hungry,Weak,Wealthy
"What is the meaning of ""Difficult""?",Easy,Hard,Simple,Light,Hard
"What is the meaning of ""Empty""?",Full,Blank,Heavy,Strong,Blank
"What is the meaning of ""Friend""?",Enemy,Companion,Stranger,Opponent,Companion
"What is the meaning of ""Cold""?",Hot,Chilly,Warm,Burning,Chilly
"What is the meaning of ""Bright""?",Dark,Shiny,Dull,Dim,Shiny
"What is the meaning of ""Clean""?",Dirty,Neat,Rough,Ugly,Neat
"What is the meaning of ""Angry""?",Happy,Mad,Calm,Excited,Mad
"What is the meaning of ""Tall""?",Short,High,Low,Small,High
"What is the meaning of ""Soft""?",Hard,Gentle,Rough,Sharp,Gentle
"What is the meaning of ""Lazy""?",Active,Idle,Busy,Fast,Idle
"What is the meaning of ""Kind""?",Cruel,Gentle,Rude,Angry,Gentle
"What is the meaning of ""Fast""?",Slow,Quick,Lazy,Weak,Quick
"What is the meaning of ""Beautiful""?",Ugly,Pretty,Bad,Dirty,Pretty
"What is the meaning of ""Early""?",Late,Before time,After,Slow,Before time
"What is the meaning of ""Strong""?",Weak,Powerful,Thin,Small,Powerful
"What is the meaning of ""Safe""?",Dangerous,Secure,Risky,Weak,Secure
"What is the meaning of ""Help""?",Ignore,Assist,Leave,Stop,Assist
"What is the meaning of ""Buy""?",Sell,Purchase,Give,Take,Purchase
"What is the meaning of ""End""?",Finish,Start,Open,Begin,Finish
